"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
"fundament <N> <-en; het; n> 1. (ondergrondse basisstructuur) vundament 2. (grondslag of basis van iets) vundament, pqhi, alus, aluspqhi a. het fundament voor iets aluspqhi [millele] b. het fundament van iets [mille] alus c. een stevig fundament tugev alus d. de fundamenten leggen vundamendi rajama "
"fundamentalisme <N> <-; het; n> fundamentalism a. rabiaat fundamentalisme hullunud/marrunud/mxratsev fundamentalism "
"fundamentalist <N> <-en; de; m/f> fundamentalist "
"fundamenteel <A> <adv; -er/-st> fundamentaalne, >> (basaal) pqhjapanev, >> (de grondslag rakend, grondig) pqhjalik, >> (voornaamste) pqhiline, ~~ (pqhjapanevate yksikasjadeni) (totaal) txiesti, ~~ (pqhjapanevate yksikasjadeni) (totaal, door en door) lxbinisti, ~~ (pqhjapanevate yksikasjadeni) (totaal, door en door) lxbini, kapitaalne a. fundamentele vragen/problemen fundamentaalsed kysimused/probleemid b. fundamentele begrippen pqhimqisted c. een fundamentele verandering/hervorming fundamentaalne muutus/reform d. een fundamentele discussie/tegenstelling fundamentaalne arutelu/vastuolu e. fundamentele kritiek >> (opbouwend) pqhjapanev kriitika, [mille] alustalasid kqigutav kriitika f. van fundamenteel belang pqhjapaneva txhtsusega g. fundamenteel verkeerd/mis lxbini valesti h. fundamenteel anders/verschillend pqhjalikult erinev i. het fundamenteel oneens zijn txielikult mitte nqustuma j. fundamenteel van mening verschillen fundamentaalselt erineval arvamusel olema k. een fundamenteel verschil van mening fundamentaalne lahkarvamus "
"fundatie <N> <-s; de; f; -ân> 1. (soort stichting) fond 2. (ondersteunende structuur voor machine) [techn] alus "
"fundering <N> <-en; de; f> 1. (fundament) vundament 2. (het funderen) related equivalent toetamine "
Funen <N> Fy!n 
"funest <A> <nonadv; mixed> hxvitav, related equivalent saatuslik, kohutav a. funeste gevolgen kohutavad tagajxrjed b. funest zijn voor iets [millele] xxrmiselt kahjulik olema c. een funeste invloed op iets/iemand hebben [millele]/[kellele] hxvitavalt mqjuma "
fungeren <V> <h> >> (een ambt bekleden) tegutsema, >> (de functie, het doel hebben) toimima, >> (optreden) esinema, fungeerima a. de sporthal fungeerde als opvangcentrum spordihall txitis majutamise ylesannet b. zij fungeerde als tolk en gids ta oli tqlgi ja giidina ametis, ta tegutses tqlgi ja giidina  
"funk <N> <-; de; m> funk "
"furie <N> <-s; de; f; -ân> 1. (woedende vrouw) [offens] fuuria 2. (razernij) raev "
"furieus <A> <adv; -er/-st> raevukas, tulivihane a. furieus zijn over iets [mille] peale tulivihane olema b. furieus reageren op iets [millele] raevukalt reageerima "
"furore <N> <-; de; mf> furoor a. furore maken (als) furoori tegema [kellena/millena] "
"fusie <N> <-s; de; f> 1. (samengaan) liitumine, fusioon 2. (versmelting) fusioon "
"fusillade <N> <-s; de; f> mahalaskmine "
fusilleren <V> <h> mahalaskmise teel hukkama 
"fut <N> <-; de; mf> 1. (dynamiek) energia, jaks, vqhm a. de fut is eruit pole jaksu b. ergens geen fut voor hebben [kellel] ei ole [mille] jaoks vqhma 2. (pit) kangus "
"futiel <A> <nonadv; -er/-st> tyhine, txhtsusetu, futiilne a. futiel lijken tyhine/tyhisena tunduma b. een futiele kwestie/vormfout txhtsusetu kysimus/vormiviga "
"futiliteit <N> <-en; de; f> pisiasi a. zich druk maken over futiliteiten pisiasjade kallal norima "
"futloos <A> <adv; mixed> related equivalent jquetu, related equivalent lqtv a. futloos haar elastuseta, sorgus juuksed b. futloos onderuitgezakt lqdvalt lcsakil "
"futloosheid <N> <-; de; f> jquetus "
"futurisme <N> <-; het; n> futurism "
"futurist 1 <N> <-en; de; m/f> 1. (aanhanger van het futurisme) futurist "
"futurist 2 <N> <futurist; de; m/f> 1. (denker over de toekomst) futuroloog "
"fuut <N> <-ten; de; m> tuttpytt "
"fysica 1 <N> <-; de; f> 1. (natuurkunde) fyysika "
"fysica 2 <N> <-'s; de; f> 1. (vrouwelijke fysicus) << (naissoost) fyysik "
"fysicus <N> <fysici; de; m/f> fyysik "
"fysiek 1 <N> <-; de/het  n; mn> 1. (fysieke gesteldheid) fyysis, tervis "
"fysiek 2 <A> <adv; -er/-st> 1. (lichamelijk) fyysiline, kehaline a. fysiek en mentaal/psychisch fyysiliselt ja vaimselt/psyyhhiliselt b. een fysieke inspanning/belasting kehaline pingutus/koormus c. fysiek geweld fyysiline vxgivald d. fysiek zwaar werk fyysiliselt raske tcc e. fysiek gezond/sterk zijn fyysiliselt terve/tugev olema f. ergens een fysieke afkeer van hebben [mille] vastu lausa fyysilist vastumeelsust tundma g. dat is fysiek onmogelijk see on puhtfyysiliselt vqimatu "
"fysiologisch <A> <adv; mixed> fysioloogiline "
"fysiotherapeut <N> <-en; de; m/f> 1. (therapeut voor spieren en gewrichten) fysioterapeut 2. (revalidatiearts) [belg] taastusarst "
"fysisch <A> <nonadv; ncompar> fyysikaline, >> (m.b.t. de natuur) fyysiline, >> (m.b.t. de natuur) loodus- a. fysische geografie loodusgeograafia b. fysische processen fyysikalised protsessid c. de fysische eigenschappen van water vee fyysikalised omadused "
